Omega,alpha,delta,np,nu,gamma,psi_scalar,gy,by,tauc,kappa
1.65,0.5259887307748131,0.0428656339645385,0.016474727363681843,0.33203550866342263,0.16542171085542773,0.9641570785392696,0.18575046635258485,0.30177223611805903,0.19,0.3544469234617309
1.65,0.6018468294518181,0.0428656339645385,0.017460060030015007,0.33832796398199105,0.1770375187593797,1.0330915457728864,0.1874924373513403,0.2775807403701851,0.19,0.38366833416708357
1.65,0.5740377999294275,0.0428656339645385,0.018898019009504753,0.37846948929009966,0.18022511255627816,0.9511005502751375,0.15980876098876592,0.3164447723861931,0.19,0.3937383691845923
1.65,0.5608060842695803,0.0428656339645385,0.017534917458729364,0.36042388466960756,0.16219809904952476,1.002376188094047,0.172412433509173,0.3065014007003502,0.19,0.35016258129064537
1.65,0.5457802376728048,0.0428656339645385,0.017413056528264133,0.3972022011005504,0.16345872936468234,0.9532016008004002,0.18563091932325848,0.3182333666833417,0.19,0.3538976488244122
1.65,0.5902971115453414,0.0428656339645385,0.01654784392196098,0.33236098049024515,0.17826213106553276,0.9576538269134567,0.18769737511589976,0.290404052026013,0.19,0.3668605302651326
1.65,0.5411267105551467,0.0428656339645385,0.0170143971985993,0.36957325935695123,0.17267933966983492,0.9967233616808404,0.1632585466921836,0.3251149074537269,0.19,0.36722671335667834
1.65,0.5392204464346603,0.0428656339645385,0.01822430215107554,0.3341691573059257,0.18994997498749375,0.9969734867433717,0.1610383875761227,0.32162866433216614,0.19,0.37934737368684346
1.65,0.5553676248670161,0.0428656339645385,0.01626408204102051,0.3449820546636955,0.19110255127563783,1.0127313656828414,0.18151508588502258,0.2937387193596799,0.19,0.398095947973987
1.65,0.580205125025119,0.0428656339645385,0.016909944972486244,0.34085941152394383,0.1867263631815908,1.0064782391195597,0.18373524500108343,0.28688749374687345,0.19,0.35931715857928964
1.65,0.6086308870570787,0.0428656339645385,0.016751525762881442,0.33717073081995547,0.18047723861930967,0.9570535267633816,0.1587840721659686,0.2763984492246123,0.19,0.3396165082541271
1.65,0.5781867277210745,0.0428656339645385,0.017839569784892446,0.3279490290599846,0.17330965482741373,1.018984492246123,0.15905732251871454,0.2993773386693347,0.19,0.3420333166583292
1.65,0.5434815074098653,0.0428656339645385,0.015851495747873937,0.33680909545681936,0.18038719359679842,1.0004252126063031,0.1679891934240979,0.3316326663331666,0.19,0.39725372686343174
1.65,0.5138783469505462,0.0428656339645385,0.01885623811905953,0.3956833325753787,0.19349774887443721,1.0360930465232616,0.17388115415518252,0.2924351675837919,0.19,0.3639310655327664
1.65,0.5198774722709006,0.0428656339645385,0.01697087543771886,0.33207167219973627,0.16507953976988496,1.0441970985492746,0.1727881527441987,0.3200219609804903,0.19,0.3964115057528764
1.65,0.5455559713056888,0.0428656339645385,0.01851328664332166,0.38834213470371554,0.16994197098549274,1.0456978489244624,0.18083196000315768,0.30495532766383193,0.19,0.38502321160580294
1.65,0.5497048990973358,0.0428656339645385,0.018384462231115558,0.34798362817772527,0.19580290145072538,1.025887943971986,0.17698937691766772,0.2732153576788394,0.19,0.39670445222611306
1.65,0.5136540805834302,0.0428656339645385,0.018145962981490744,0.3309506025740143,0.16572786393196598,1.0413456728364183,0.17987558376854684,0.3257212106053027,0.19,0.38147123561780893
1.65,0.5790277265977597,0.0428656339645385,0.018074587293646825,0.3737682295693302,0.17068034017008504,1.011430715357679,0.18325705688377802,0.33326968484242125,0.19,0.3787248624312156
1.65,0.5146072126436735,0.0428656339645385,0.016297158579289647,0.3610748283232526,0.16360280140070035,1.0071785892946474,0.16424907922088766,0.3250542771385693,0.19,0.33225622811405703
1.65,0.512588815339629,0.0428656339645385,0.0156895947973987,0.3751424439492474,0.174048024012006,1.001025512756378,0.18064410038564485,0.3068651825912957,0.19,0.3373827913956979
1.65,0.5574981553546186,0.0428656339645385,0.017477468734367185,0.3634977852562645,0.17430015007503752,1.0426963481740872,0.1768185954472015,0.27542836418209105,0.19,0.39597208604302153
1.65,0.533781987032096,0.0428656339645385,0.018328754377188596,0.3440418027195416,0.173687843921961,1.0293896948474237,0.1866556081460558,0.28512921460730367,0.19,0.37224342171085545
1.65,0.5868770494468216,0.0428656339645385,0.01909647823911956,0.35185312656328166,0.1866183091545773,1.039894947473737,0.16576903430803702,0.3145349174587294,0.19,0.34012916458229114
1.65,0.6123873487062726,0.0428656339645385,0.016274527263631815,0.37159841739051347,0.17230115057528764,0.9734117058529265,0.18730457773382744,0.29610330165082543,0.19,0.3535314657328665
1.65,0.5822235223291634,0.0428656339645385,0.015875867933966985,0.3417996634680977,0.1826023011505753,0.9926713356678339,0.17323218456741088,0.31353451725862935,0.19,0.3506752376188094
1.65,0.5627123483900669,0.0428656339645385,0.01899376688344172,0.38667861203328946,0.1652056028014007,0.9744122061030515,0.1592451821362274,0.2852504752376188,0.19,0.3437543771885943
1.65,0.601510429901144,0.0428656339645385,0.019033806903451727,0.36581225158033565,0.185807903951976,0.99032016008004,0.1870313273810815,0.2987407203601801,0.19,0.34441350675337673
1.65,0.5280631946706367,0.0428656339645385,0.016681890945472736,0.38823364409477473,0.17664132066033017,0.9737618809404702,0.1866385299990092,0.27394292146073035,0.19,0.40190425212606307
1.65,0.6088551534241948,0.0428656339645385,0.01811288644322161,0.39307955796079863,0.17572286143071536,0.9516508254127063,0.15914271325394766,0.2821280140070035,0.19,0.348807703851926
1.65,0.5600772185764532,0.0428656339645385,0.018539399699849926,0.34342702260221025,0.16731265632816408,0.9644072036018009,0.1858700133819112,0.3232050525262632,0.19,0.39531295647823916
